Dimensions - 2

(5.95265724586071E-9,-1.22147774635953E-11)
(4.8737851461568666E-8,-6.504558001063127E-11)
(-8.527245876919612E-8,2.909396345640191E-11)
(-4.2628885968912925E-8,-2.9406599806105924E-11)
(-4.8509432351687795E-8,-3.995308793739109E-11)
(-9.730422919577048E-8,-1.129100604444179E-11)
(-8.106955253442891E-8,-4.209680420460848E-11)
(1.6282369188397334E-8,-8.73197225897577E-11)
(7.467336420329057E-8,3.5967965554565807E-12)
(6.390701953717295E-8,6.358186362331466E-12)
(3.209942581472098E-8,-8.737201600786921E-11)
(-3.576043820776193E-8,-9.271319356568645E-11)
(-1.426559041572283E-8,-6.797922463469434E-11)
(3.836601021456586E-8,3.814947929861053E-11)
(-2.212309130826989E-8,-7.590994719519604E-11)
(5.8022958217240336E-8,-1.005990179940106E-11)
(9.92827955796278E-8,-1.1060706603940142E-11)
(3.044814851976786E-8,-3.521250876210833E-11)
(-9.594292453517662E-8,2.783612315650865E-11)
(-3.750513841641311E-8,5.0792812624321166E-11)
(-1.959042927682728E-8,-1.4233497540730999E-11)
(7.537822606610176E-8,-9.945887490787363E-13)
(-5.0567048431132723E-8,6.194285720737034E-11)
(-5.25708069933093E-8,-7.822017347917945E-11)
(6.42993893902179E-8,6.574754777385448E-11)
(1.6501920996493974E-8,-6.742561724862189E-11)
(-5.025329599778989E-8,8.303492790514536E-11)
(-1.0805890299221028E-8,7.840010994916026E-11)
(-5.29774994994805E-8,8.468564999362045E-11)
(5.3247749852638893E-8,-7.492238769903015E-11)
(7.388542936399749E-8,-1.8184469572736525E-11)
(2.8719195831998893E-8,-9.20044044274901E-11)
(-5.773734792020055E-8,-1.887339629548311E-11)
(7.563357605553819E-8,-1.7984593959330733E-12)
(9.509031040761285E-8,1.8932767952634243E-11)
(7.649617229438557E-8,3.3298139784088764E-11)
(-2.0176910207711633E-8,-4.984661332910282E-11)
(2.218824701432376E-8,-8.500147947679585E-11)
(2.2759918422361326E-8,-9.356065019529996E-12)
(5.784031538660299E-8,4.027308032038684E-11)
(1.729463015527843E-8,-3.4854824921033643E-12)
(1.9355401793979756E-9,3.991575458521057E-11)
(3.935919969502183E-8,4.5644018257358885E-11)
(7.207227091830729E-9,-5.580816902769562E-11)
(1.258660318739804E-8,-4.9388298244151285E-11)
(3.8334978951554224E-8,-7.143607104134541E-11)
(-5.990707991721005E-8,4.536556541397744E-11)
(-4.4252274312308704E-10,3.2295707975245184E-11)
(-3.3771378256729055E-8,8.05451476548132E-11)
(-2.936242300662628E-8,-7.630102112486495E-11)
(1.7805225020806532E-8,1.2829182060161779E-11)

Dimensions - 5

(6.490572666376732E-11,-5.5725879850161425E-11)
(-3.680697551547504E-11,-1.1657754509869086E-11)
(4.848882300775277E-11,2.322830579851449E-11)
(-1.7953099418044195E-11,-4.3843089835668617E-11)
(-8.403324210449681E-11,-5.23348211524992E-11)
(6.513793574228505E-11,-3.8706280879243915E-11)
(-1.1455915376886628E-11,5.0298524431285274E-11)
(6.457840209070903E-11,-5.059764179374803E-11)
(1.0601945886173608E-11,5.1295824120761946E-11)
(-1.1914244700948258E-11,6.012088218798874E-11)
(-5.940127574158183E-11,-4.1760244314341847E-11)
(-7.415752809397563E-11,5.919945330611282E-11)
(4.465788794204607E-11,-5.548947552613011E-11)
(-6.91863112584599E-12,-2.6381721033893876E-11)
(-6.669059472845332E-11,2.732031328036551E-11)
(-7.424048648062795E-11,-5.01609120434619E-11)
(4.5131774290644106E-12,-8.465969088624455E-11)
(1.5546402011904458E-11,-2.4601151719947603E-11)
(-5.614909469119193E-11,-4.0215740276067537E-11)
(6.885251753216784E-11,-7.196657248605723E-11)
(-5.609348441951502E-11,5.859023559262702E-11)
(-1.8481937675576447E-11,7.514711780647613E-11)
(-5.299673174299227E-11,2.8811389306718024E-11)
(4.632174850190192E-11,-2.3110170707688033E-11)
(-6.781489132008954E-12,-8.967203726416847E-11)
(-1.8926730563828335E-11,-7.782735264044366E-11)
(-1.4993754638984512E-12,8.174296678792292E-11)
(1.0819653659379071E-11,1.1966922274918057E-11)
(3.614889472107828E-12,9.173414485236926E-11)
(-9.229012307204076E-12,-8.752162130588803E-11)
(-4.3111008436895946E-11,2.764408580070527E-11)
(4.077812333529679E-11,1.9405878867060023E-11)
